INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
headbutt,Not Caught,midfielder,Winning,opponent team penalty area,Uruguay,1992-06-10,66,No Moon
scratch,Not Caught,midfielder,Draw at a time,midfield,Uruguay,1992-06-12,90,Half
kick in the butt,Red Card,spectator,Draw at a time,off field,Uruguay,1992-06-14,9,No Moon
none,None,None,Winning,No location,Uruguay,1992-06-15,90,Half
finger in the eye,Yellow card,referee,Losing,midfield,Uruguay,1992-06-18,64,No Moon
scratch,Red Card,journalist,Draw at a time,off field,Uruguay,1992-06-18,36,No Moon
bite,Suspended for several games,spectator,Winning,off field,Uruguay,1992-06-23,48,Half
none,None,None,Winning,No location,Uruguay,1992-06-26,90,Half
headbutt,None,None,Winning,opponent team penalty area,Uruguay,1992-06-27,64,Half
scratch,Not Caught,referee,Winning,his team penalty area,Uruguay,1992-06-30,49,No Moon
none,None,None,Winning,No location,Uruguay,1992-07-03,90,Full
spit in the face,yellow card,defender,Draw at a time,midfield,Uruguay,1992-07-19,34,Half
kick in the butt,Suspended for several games,referee,Draw at a time,his team penalty area,Uruguay,1992-07-23,69,Half
bite,None,referee,Losing,opponent team penalty area,Uruguay,1992-07-23,88,Half
spit in the face,yellow card,forward,Winning,opponent team penalty area,Uruguay,1992-07-26,46,Half
bite,None,journalist,Draw at a time,off field,Uruguay,1992-07-31,80,No Moon
finger in the eye,Suspended for several games,forward,Winning,his team penalty area,Uruguay,1992-08-12,89,No Moon
spit in the face,yellow card,midfielder,Losing,opponent team penalty area,Uruguay,1992-08-17,7,No Moon
bite,Yellow card,goalkeeper,Winning,midfield,Uruguay,1992-08-23,51,Full
none,None,None,Winning,No location,Uruguay,1992-08-24,90,No Moon
bite,Yellow card,defender,Losing,his team penalty area,Uruguay,1992-08-26,88,No Moon
scratch,None,goalkeeper,Losing,his team penalty area,Uruguay,1992-09-01,62,Half
none,None,None,Winning,No location,Uruguay,1992-09-02,90,Full
none,None,None,Winning,No location,Uruguay,1992-09-07,90,No Moon
none,None,None,Winning,No location,Uruguay,1992-09-08,90,No Moon
bite,Not Caught,forward,Losing,opponent team penalty area,Uruguay,1992-09-11,89,Full
none,None,None,Winning,No location,Uruguay,1992-09-13,90,Full
none,None,None,Winning,No location,Uruguay,1992-09-17,90,Full
